Date,Hour,Min,Load
16-01-2018,9,0,3738.570
16-01-2018,9,30,3874.940
16-01-2018,10,0,3838.550
16-01-2018,10,30,3837.200
16-01-2018,11,0,3729.300
16-01-2018,11,30,3647.670
16-01-2018,12,0,3484.430
16-01-2018,12,30,3326.370
16-01-2018,13,0,3184.110
16-01-2018,13,30,2898.350
16-01-2018,14,0,2950.150
16-01-2018,14,30,2934.940
16-01-2018,15,0,2953.410
16-01-2018,15,30,2929.030
16-01-2018,16,0,2880.510
16-01-2018,16,30,2897.990
16-01-2018,17,0,2948.040
16-01-2018,17,30,3022.470
16-01-2018,18,0,3255.590
16-01-2018,18,30,3360.290
16-01-2018,19,0,3356.900
16-01-2018,19,30,3319.410
16-01-2018,20,0,3191.660
16-01-2018,20,30,3120.540
16-01-2018,21,0,2903.650
16-01-2018,21,30,2845.890
16-01-2018,22,0,2699.810
16-01-2018,22,30,2494.360
16-01-2018,23,0,2284.490
16-01-2018,23,30,2069.660
17-01-2018,0,0,1905.250
17-01-2018,0,30,1777.030
17-01-2018,1,0,1693.750
17-01-2018,1,30,1628.010
17-01-2018,2,0,1603.820
17-01-2018,2,30,1583.030
17-01-2018,3,0,1558.760
17-01-2018,3,30,1562.110
17-01-2018,4,0,1583.640
17-01-2018,4,30,1660.820
17-01-2018,5,0,1798.540
17-01-2018,5,30,2054.180
17-01-2018,6,0,2533.460
17-01-2018,6,30,3114.100
17-01-2018,7,0,3433.330
17-01-2018,7,30,3677.450
17-01-2018,8,0,3783.830
17-01-2018,8,30,3841.960
17-01-2018,9,0,3795.450
17-01-2018,9,30,3942.460
17-01-2018,10,0,4001.680
17-01-2018,10,30,3994.670
17-01-2018,11,0,3902.750
17-01-2018,11,30,3785.600
17-01-2018,12,0,3690.150
17-01-2018,12,30,3539.940
17-01-2018,13,0,3291.940
17-01-2018,13,30,2996.970
17-01-2018,14,0,3074.780
17-01-2018,14,30,3066.700
17-01-2018,15,0,3060.210
17-01-2018,15,30,3005.120
17-01-2018,16,0,2971.800
17-01-2018,16,30,2972.400
17-01-2018,17,0,3009.370
17-01-2018,17,30,3084.540
17-01-2018,18,0,3291.810
17-01-2018,18,30,3443.610
17-01-2018,19,0,3412.330
17-01-2018,19,30,3375.720
17-01-2018,20,0,3278.520
17-01-2018,20,30,3136.390
17-01-2018,21,0,2953.490
17-01-2018,21,30,2835.710
17-01-2018,22,0,2692.870
17-01-2018,22,30,2489.960
17-01-2018,23,0,2281.140
17-01-2018,23,30,2063.230
18-01-2018,0,0,1890.920
18-01-2018,0,30,1768.480
18-01-2018,1,0,1669.810
18-01-2018,1,30,1609.840
18-01-2018,2,0,1570.680
18-01-2018,2,30,1530.240
18-01-2018,3,0,1511.450
18-01-2018,3,30,1514.110
18-01-2018,4,0,1536.700
18-01-2018,4,30,1588.440
18-01-2018,5,0,1718.920
18-01-2018,5,30,2021.290
18-01-2018,6,0,2431.950
18-01-2018,6,30,2980.690
18-01-2018,7,0,3311.250
18-01-2018,7,30,3562.820
18-01-2018,8,0,3695.750
18-01-2018,8,30,3745.570
18-01-2018,9,0,3736.560
18-01-2018,9,30,3880.400
18-01-2018,10,0,3927.050
18-01-2018,10,30,3865.610
18-01-2018,11,0,3762.460
18-01-2018,11,30,3641.090
18-01-2018,12,0,3535.370
18-01-2018,12,30,3405.530
18-01-2018,13,0,3200.200
18-01-2018,13,30,2951.810
18-01-2018,14,0,3039.710
18-01-2018,14,30,3023.550
18-01-2018,15,0,3001.740
18-01-2018,15,30,2978.960
18-01-2018,16,0,2970.800
